,x,y,aspect,awc,clay,Dis_habitat_suitable_1,Dis_habitat_suitable_2,Dis_habitat_suitable_3,distance_bridleway,distance_cycleway,distance_footway,distance_motorwayandlink,distance_path,distance_pedestrian,distance_primaryandlink,distance_residentil,distance_secondaryandlink,distance_steps,distance_tertiaryandlink,distance_trunkandlink,distance_unclassified,elev,fpc.corrected,group,habit0pc,habit1,habit1pc,habit2,habit2pc,habit3,habit3pc,hpop,lot_density,nitro,rain,roadk,s1_residential_dist,s1_secondry_dist,s1_unclassified_dist,s2_residential_dist,s2_secondry_dist,s2_unclassified_dist,s3_residential_dist,s3_secondry_dist,s3_unclassified_dist,sbd,temp,tpo,twi,presence_1,Presence_2,presence_0
5398,464330,6934598,99.03154023,14.1593726,19.14444265,4472.135742,1000,0,29966.64813,15000,8602.325267,11180.33989,15620.49935,15620.49935,10000,7071.067812,6403.124237,8602.325267,2000,7071.067812,2236.067977,61.07973353,121.6566502,2,100,1453.546145,0,815.88999,29,196.1166173,6,2.503063545,7,0.135562641,19,0,1000,1000,1000,0,0,0,0,0,0,1.093667686,19,0.042306177,11.35622357,0,1,0
3860,489330,6950598,89.71930598,13.57474436,19.49557003,3605.55127,7810.249512,1414.213623,9219.544457,1000,0,3605.551275,4242.640687,5830.951895,1000,0,1000,6000,1000,12000,1000,14.89950235,141.7988103,1,85,138.4659244,1,1658.836827,0,21.80679627,0,491.1124534,458,0.135722047,20,8.285673796,1414.213562,0,0,3414.213562,2414.213562,2414.213562,4828.427125,1000,1000,1.051844206,20,0.054033887,7.408291593,1,1,1
5293,459330,6935598,203.5686461,14.90345917,23.17985857,2000,3000,2828.427246,31622.7766,17691.80601,6000,14560.21978,18601.07524,19235.38406,15000,6000,2000,6000,2236.067977,10770.32961,3605.551275,58.44565962,115,2,100,2281.554582,0,1072.620823,0,738.755312,0,2.557155428,8,0.136273246,19,0,1000,1000,1000,1000,1000,1000,1414.213562,1414.213562,1414.213562,1.109285347,19,0.034260014,8.959777224,1,0,0
3411,491330,6955598,147.216299,13.72387787,19.11563739,2000,10770.33008,4472.135742,4000,1000,1000,3162.27766,4242.640687,1000,1000,0,0,3162.27766,1000,8602.325267,1000,46.45519423,152.9855086,1,100,2347.237784,0,1525.182783,0,3081.380432,0,537.0261587,110,0.136769189,20,4.736321068,2000,1414.213562,1414.213562,6414.213562,3000,2000,5414.213562,3000,2828.427125,1.054975846,20,0.042170169,9.405777917,1,0,0
5496,462330,6933598,194.3772408,14.85482814,20.40713691,5000,2000,1000,31764.76035,17029.38637,8544.003745,13416.40786,17691.80601,17804.49381,12041.59458,8246.211251,5385.164807,8544.003745,3000,9219.544457,0,81.16430648,125.8072874,7,99,294.2077436,0,293.7484415,6,1.612977505,3,9.023967169,11,0.137158396,19,1.426167908,1000,1000,1000,0,0,1000,0,0,1000,1.074177027,19,0.035190704,9.254789704,0,1,0
5495,461330,6933598,66.40313368,14.65152935,20.8103265,4472.135742,2236.067871,0,32249.03099,17691.80601,8246.211251,14317.82106,18384.77631,18601.07524,13038.40481,8062.257748,4472.135955,8246.211251,3000,10000,1000,85.23348475,122.5191537,1,68,1597.593297,0,293.7484415,29,1.612977505,3,10.20151133,10,0.137292252,19,0,1414.213562,1414.213562,1414.213562,0,0,0,0,0,0,1.080488752,19,0.039049011,9.500912239,0,1,1
5196,462330,6936598,86.48741218,13.91912465,18.64505138,3162.277588,1000,0,29154.75947,14866.06875,5830.951895,12369.31688,15620.49935,16124.5155,12000,5385.164807,3605.551275,5830.951895,0,7615.773106,3000,77.67806579,121.4307403,2,95,1440.1699,2,699.8155399,0,297.102095,7,23.24464908,11,0.138913237,19,2.955822815,0,0,0,1000,1000,1000,0,0,0,1.107874271,19,0.028729328,8.754284545,0,1,1
1137,494330,6985598,101.0295313,13.56619814,13.0133208,1414.213623,6403.124023,5000,18027.75638,3162.27766,2828.427125,6082.76253,3605.551275,12041.59458,2828.427125,0,4000,3605.551275,1414.213562,12206.55562,2236.067977,24.83427629,146.1947333,1,100,0,6,2045.944491,0,1612.110871,0,17.76444742,84,0.13899538,20,4.53423407,1000,0,0,1000,1000,1000,2828.427125,1000,1000,1.025143421,20,0.037315611,6.576378753,0,0,1
4334,491330,6945598,296.4602296,13.70418419,15.06403337,4123.105469,4000,1414.213623,13341.66406,0,0,0,4472.135955,10049.87562,5385.164807,0,0,5099.019514,0,7000,0,10.8961924,130.7688747,1,100,266.7584302,0,1721.673174,0,1967.526273,0,425.1319475,703,0.140500462,19.94471818,14.90640476,2828.427125,1414.213562,1414.213562,1414.213562,2414.213562,2414.213562,4414.213562,1414.213562,1414.213562,1.09191352,19.94471818,0.037235166,9.06592426,0,0,1
2463,462330,6966598,68.88711065,13.59514464,19.95008798,1000,3605.55127,2000,13601.47051,16124.5155,4242.640687,16000,16401.21947,25238.85893,5000,4242.640687,1414.213562,25179.35662,6403.124237,26925.82404,3605.551275,74.36883318,135.6291573,1,100,1217.889306,0,307.2404077,0,580.1438834,0,31.81390026,33,0.140980322,19.39814475,0,1000,1000,1000,0,0,0,0,0,0,1.103975056,19.39814475,0.044550248,8.83450793,0,0,1
5394,460330,6934598,295.9521094,15.12331484,22.43686951,3162.277588,2236.067871,1414.213623,31906.11227,17691.80601,7071.067812,14866.06875,18439.08891,18867.96226,14000,7000,3162.27766,7071.067812,2236.067977,10295.63014,2236.067977,76.77047602,117.9972806,1,100,1597.593297,0,1072.620823,0,738.755312,0,7.463283062,11,0.141551184,19,0,2000,2000,2000,0,0,0,0,0,0,1.114242327,19,0.034863693,8.569803525,1,1,0
1864,455330,6974598,151.9656887,14.3272517,21.91643414,5099.019531,4242.640625,4123.105469,16278.8206,23769.72865,14866.06875,24515.30134,20099.75124,16970.56275,15620.49935,13341.66406,3605.551275,33241.54028,13341.66406,36769.55262,6324.55532,75.03781192,124,4,100,3511.370209,0,3276.472613,0,3856.824835,0,0,2,0.141750625,19.57849332,0,4000,4000,4000,3000,3000,3000,3000,3000,3000,1.130155168,19.57849332,0.049568481,8.674533032,1,0,1
5696,462330,6931598,67.46901313,14.89062408,18.28305762,6708.204102,4000,2236.067871,33541.01966,18601.07524,10440.30651,14422.2051,19209.37271,19104.97317,12083.04597,10198.03903,6403.124237,10440.30651,5000,10630.14581,0,74.99932076,119.6476507,1,99,942.08665,0,543.1178328,2,240.6032262,1,2.673212901,10,0.142180651,19,2.697337341,0,0,3000,0,0,1000,0,0,1414.213562,1.100748338,19,0.038513761,8.182956378,1,1,1
4528,490330,6943598,135.8692282,13.17854338,20.13397311,2000,4123.105469,0,15524.1747,2000,0,2000,5000,12165.52506,5656.854249,0,1000,4472.135955,0,5000,0,34.49561113,148.1846937,1,77,126.121257,6,197.2602307,1,81.47205187,26,661.648812,249,0.142365624,19,5.101483849,2000,0,1000,2414.213562,0,1000,2414.213562,0,1000,1.045409575,19,0.047315678,8.348629898,0,0,0
845,506330,6989598,111.9111292,13.54447453,19.20090941,3162.277588,1414.213623,16643.31641,27513.63298,0,0,5830.951895,1414.213562,19416.48784,1414.213562,0,0,2236.067977,0,14866.06875,1000,4.385094259,126.0167258,2,95,262.8909265,0,972.8711762,5,9515.601308,0,699.2577854,473,0.14392521,20,1.497052571,1414.213562,1000,1000,1000,1000,0,10828.42712,10828.42712,10828.42712,0.963475169,20,0.045811522,9.644798857,0,0,0
3255,521330,6957598,203.5024463,13.31092484,22.4982246,3162.277588,3162.277588,13416.4082,24515.30134,1000,1000,9000,3162.27766,16401.21947,1000,0,2000,5830.951895,0,11180.33989,2828.427125,29.48837238,125.4870166,1,100,659.5697687,1,521.821351,5,3308.034347,0,1801.174343,977,0.144541301,20,8.919670953,2414.213562,0,0,2414.213562,0,0,4828.427125,4414.213562,4414.213562,1.032132405,20,0.030826461,8.094846055,0,1,1
4332,489330,6945598,137.4287745,13.62191988,18.85121933,3162.277588,5830.95166,1414.213623,13928.38828,2000,1414.213562,0,6324.55532,10440.30651,3605.551275,0,0,6708.203932,0,7000,0,40.63969063,136.491242,1,100,1684.542297,0,1818.664904,0,269.7785749,0,527.0943313,834,0.144973206,19.94471818,8.136551106,2414.213562,1000,1000,3414.213562,1000,1000,2414.213562,1000,1000,1.080089217,19.94471818,0.044962189,8.539731923,1,0,1
2227,451330,6969598,191.5116414,14.32334154,23.72860315,4472.135742,3162.277588,4000,21540.65923,27018.51217,15231.54621,20615.52813,25000,18788.29423,15652.47584,10440.30651,1000,29120.43956,10630.14581,34132.09633,6082.76253,74.74499649,133.313668,3,100,1816.539593,0,1325.645054,1,2805.567964,0,79.088126,79,0.146309254,20,0,1000,2000,1000,0,0,0,2828.427125,2828.427125,2828.427125,1.1187119,20,0.033814007,8.338173594,0,1,0
5596,462330,6932598,93.3305375,14.59332464,20.98238539,5830.95166,3000,1414.213623,32649.65543,17804.49381,9486.832981,13892.44399,18439.08891,18439.08891,12165.52506,9219.544457,5830.951895,9486.832981,4000,9899.494937,0,83.74783259,117.8040256,3,81,942.08665,0,293.7484415,13,240.6032262,23,9.14676572,6,0.147714805,19,2.437424316,1000,1000,2000,0,0,1000,0,0,1000,1.092095483,19,0.040031593,9.607107717,0,1,1
909,494330,6988598,41.21789762,13.66997166,17.88498736,1000,5099.019531,6403.124023,20880.61302,4123.105626,2828.427125,5099.019514,3605.551275,15033.29638,5000,0,4000,2828.427125,0,14764.82306,0,40.0776437,138.303637,1,100,158.3700912,5,335.1854227,0,2195.528564,0,76.05123479,44,0.148656363,20,4.255913795,1000,0,1000,1000,1000,1414.213562,2414.213562,2414.213562,2414.213562,1.01440939,20,0.033839456,7.969599591,0,0,1
1215,497330,6984598,114.8572703,13.71868241,16.48849168,2000,5385.165039,6403.124023,18357.55975,0,0,3605.551275,1000,11180.33989,1000,0,1000,1000,0,9848.857802,1000,23.91933621,130.7286554,4,100,40.43089137,2,1273.496257,0,2626.508914,0,1415.243937,929,0.149581579,20,18.72456453,2000,0,0,2000,1000,1000,3414.213562,3000,3000,1.0117909,20,0.045301389,9.066768591,1,0,1
1425,494330,6981598,82.64665468,13.9701562,20.71782008,1000,7615.772949,2236.067871,14317.82106,1000,0,7000,3605.551275,8062.257748,2828.427125,0,0,3605.551275,0,9219.544457,2828.427125,25.62172014,133.9725082,2,97,120.3575376,3,2443.419071,0,1646.007455,0,976.9162056,244,0.150456923,20,9.114241432,2000,1000,0,4414.213562,4414.213562,2414.213562,2414.213562,1000,1000,1.019780113,20,0.039928369,7.495831988,0,0,1
4429,490330,6944598,125.7999181,13.28431749,21.21525003,3000,4472.135742,0,14560.21978,1414.213562,1000,1000,5099.019514,11180.33989,5000,0,1000,5385.164807,0,6000,1000,27.15988926,142.4240332,1,100,126.121257,3,197.2602307,0,81.47205187,15,763.0804058,331,0.150899971,19.94471818,5.471058323,3000,0,0,2000,1000,1000,3414.213562,0,0,1.07282529,19.94471818,0.052818152,8.648276737,1,0,1
